wallet_address,tx_count,wallet_age_days,first_seen_date,gas_fees_usd,total_dex_volume_usd,total_cex_volume_usd,total_lending_volume_usd,alchemy_current_wallet_value,sim_current_wallet_value,sim_ath_wallet_value,top_tokens_held
0x000000071315588b34fc29d63b7494b614e6fa85,39,1365,2022-04-26T06:22:10.000Z,69.5,0.0,0.0,0.0,1.18,1.1,1.35,ETH
0x0000000fe4e90789b4cfcd19be68bf3f5f075f22,39,921,2023-07-14T11:30:23.000Z,210.81,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x000000785874849f04c0ccb9ce4ccec117b574cf,15,1241,2022-08-27T19:28:54.000Z,27.11,0.0,0.0,0.0,0.01,0.01,0.01,ETH
0x000000c83e857c4dceb119e6b998b95151e5764f,5,172,2025-07-31T15:30:11.000Z,2.75,0.0,0.0,0.0,0.01,0.01,0.02,ETH
0x000002e0150130740d1b34a4a7fd34df93384167,6,46,2025-12-05T03:15:23.000Z,0.08,0.0,0.0,0.0,0.04,0.04,0.04,ETH
0x0001cd5b4fb041fdc851dd817741b89d8ea56cbb,4,914,2023-07-21T07:33:23.000Z,8.45,0.0,0.0,0.0,5.71,5.3,6.55,ETH
0x00052bb5bc71dae2d3c6ec23c32134b2ea4d29f5,105,878,2023-08-26T04:25:47.000Z,210.33,0.0,0.0,0.0,0.43,0.46,0.56,"ETH, WETH"
0x000b1c6d73e4964234923c5fefd30b7abfa173bc,7,133,2025-09-09T09:37:59.000Z,1.3,0.0,0.0,0.0,7.38,6.85,8.46,ETH
0x001183159a9f983e0e3e3c32f73906e5b8ce6a55,175,957,2023-06-07T16:20:59.000Z,252.74,0.0,0.0,0.0,118.52,180.05,296.33,"ETH, EIGEN, wQUIL"
0x001aef8094d70668247333c646a8e8ecfd619890,185,1210,2022-09-28T03:45:59.000Z,86.95,0.0,0.0,0.0,0.05,0.05,0.06,"ETH, beraSTONE, EIGEN"
0x001d8450dfdb736bca6b49b4aca4259ac2dc1936,9,180,2025-07-24T04:40:35.000Z,1.05,0.0,0.0,0.0,0.2,0.19,0.23,ETH
0x001feb669230b35525b9ee9a2d7403c07a8ae0fb,16,627,2024-05-03T08:28:11.000Z,6.04,0.0,0.0,0.0,0.01,0.01,0.01,"ETH, USUALX"
0x0027fba089b22adb7801a91bd8758a494c31a68e,1,16,2026-01-04T02:11:35.000Z,0.04,0.0,0.0,0.0,1.5,1.4,1.73,ETH
0x0033469646bcb86a476d7ec8fe5f0573e923839e,5,178,2025-07-26T02:32:59.000Z,0.59,0.0,0.0,0.0,0.63,0.59,0.72,ETH
0x0037fa577e547a7616e4b01d15553a0c7e980c63,34,960,2023-06-05T05:03:23.000Z,120.89,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x003878938a2e466e7454d94be9c30829713cde03,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x003980b19696718b2e8ed54bef8bd9869fa45187,296,1259,2022-08-09T14:49:00.000Z,183.92,0.0,0.0,0.0,8.79,8.35,10.3,"ETH, DAI, USDC"
0x003af998d5ca78377f1ca6f1d397a782f09a8f37,6,132,2025-09-10T10:50:23.000Z,1.21,0.0,0.0,0.0,7.17,6.65,8.22,ETH
0x004106926a383f906fa2201f493f9873278a9bcf,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x004431e6253d3588ffc89cfd93e7a7e9aa9bbabf,17,642,2024-04-18T11:02:23.000Z,19.1,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x004862006508b6f0c372c26fb56ad1a5d8a6fbb5,7,134,2025-09-07T14:08:47.000Z,2.15,0.0,0.0,0.0,0.37,0.35,0.43,ETH
0x004913ad305ec72f59ae0c706c5a134fcde45ab1,17,254,2025-05-11T02:51:35.000Z,5.81,0.0,0.0,0.0,3.36,3.12,3.86,ETH
0x004b72c6680aadeb37c8c973a8d44a0daccaf0f0,5,174,2025-07-30T00:55:47.000Z,1.95,0.0,0.0,0.0,13.81,12.81,15.83,ETH
0x004c77f20a13e012e8407b490d9f4e3867487ad8,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x004f5dfcb1b51009a2afd16ef9413cbe9ed1cfa2,12,642,2024-04-18T09:26:59.000Z,10.49,0.0,0.0,0.0,6.54,6.07,7.5,ETH
0x005440851b0c5e7bf5402aeba6f366b3ecb76fb6,3,194,2025-07-10T05:08:23.000Z,1.02,0.0,0.0,0.0,0.03,0.03,0.03,ETH
0x0058cf7f910ac33af3639d12cf53d77121091963,12,808,2023-11-04T05:19:11.000Z,20.83,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x00663d2bd51cb4a93fd779a8c1c4853c2c0a398a,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x006d0152c178819a8742514ae636907330a117c8,15,184,2025-07-20T02:46:59.000Z,4.72,0.0,0.0,0.0,1.71,1.59,1.97,ETH
0x00760b37a4a1e450e92629063e1c938417992cce,3,48,2025-12-03T06:58:35.000Z,0.46,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x007c144e29cb7107a2688f41e80b4bba43667481,6,178,2025-07-26T04:18:47.000Z,0.64,0.0,0.0,0.0,0.54,0.5,0.62,ETH
0x007da41fd52e615824d2e8594e35e601fa010f1e,16,642,2024-04-18T07:37:35.000Z,14.43,0.0,0.0,0.0,14.37,13.33,16.47,ETH
0x007f33315a4dd8ae858b63ab6ccba7eba0cb7708,7,433,2024-11-12T21:25:47.000Z,3.44,0.0,0.0,0.0,1.83,1.7,2.1,ETH
0x00805e864b27325d887ae8cb862e913de3e8ea0e,21,980,2023-05-15T22:10:47.000Z,137.46,0.0,0.0,0.0,0.14,0.13,0.16,ETH
0x0080d70fdd09135add3a601112ef099075ed3f9e,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x0084097e1ddee3aea0c6fbc8d381577ab6a5f0b0,121,1785,2021-03-02T09:32:42.000Z,172.51,0.0,0.0,0.0,0.0,0.2,0.26,"cBSN, ETH, DAI"
0x008bd9cdd0b74d3ad69abe62844bf9fbeaa1f5f5,1,16,2026-01-04T02:15:35.000Z,0.04,0.0,0.0,0.0,1.51,1.4,1.73,ETH
0x0095fea34a2fbbacc5f3462d2bc2eb16cf3a260d,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x009d39547324e8b74bf2e7ab7a581cd5310b5dca,14,254,2025-05-11T09:21:47.000Z,4.9,0.0,0.0,0.0,1.15,1.07,1.32,ETH
0x009fa4d5db8c8cb684c354b43b4fbfd66de6f9ae,20,863,2023-09-10T08:57:59.000Z,21.55,0.0,0.0,0.0,117.76,109.28,135.02,"ETH, USDC"
0x00a254c3e777f794c9a56afb1036880b72bee589,2,399,2024-12-17T10:41:11.000Z,1.66,0.0,0.0,0.0,0.18,0.17,0.2,ETH
0x00ba3f21ffcb5f62308045c88d3c91032ced727c,28,1026,2023-03-30T18:26:11.000Z,119.68,0.0,0.0,0.0,39.31,36.48,45.07,ETH
0x00c22a8c19a39279b58d3f343bcbc65e9e034d18,9,179,2025-07-25T02:24:35.000Z,1.0,0.0,0.0,0.0,1.3,1.2,1.49,ETH
0x00c3fe88cf851eeed85a0e8fd5c1670e96470006,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x00c6abe1af71a3e6f3b1d9197215f8a2bb1c42be,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x00c8521eb6b9cef39d28063c22a02666e9fc0d10,15,716,2024-02-04T07:05:11.000Z,21.88,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x00cadf75a56e3977252845a631a8e50cd317ad27,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x00cdbffbc0a4eb7157fe6fea87f3b96aa5dc2d77,4,329,2025-02-25T05:58:35.000Z,0.66,0.0,0.0,0.0,0.04,0.04,0.05,ETH
0x00ce108ab475b68c944921cff3bb0ced91766937,14,941,2023-06-24T07:23:35.000Z,21.3,0.0,0.0,0.0,16.94,15.72,19.42,ETH
0x00d9324241cbe525a6fcd3530af9ce11f4315558,4,984,2023-05-12T09:49:11.000Z,42.8,0.0,0.0,0.0,0.68,0.63,0.78,ETH
0x00dfcfb57d8392d924d185438a4f2868d4a60ce2,33,991,2023-05-04T13:17:11.000Z,233.25,0.0,0.0,0.0,1.16,1.08,1.33,"ETH, stETH"
0x00f002efcac8083f21c46be67d4e5aae8267bb56,938,1611,2021-08-22T19:55:51.000Z,1.64,0.0,0.0,0.0,85.67,81.47,100.92,"ETH, RIVUS, UniLife"
0x00f7c88274a20871918e66150cf4850797ca482f,119,1340,2022-05-20T19:36:12.000Z,385.3,0.0,0.0,0.0,5.52,516.15,880.11,"OSAK, ETH"
0x00f997a9b8d20d9cce37bd1b98cb9873181b7a75,18,402,2024-12-14T00:48:11.000Z,23.66,0.0,0.0,0.0,5.34,4.96,6.12,ETH
0x00fbec1e8abf00490cf311395d11dedd5d30bc75,54,1114,2023-01-02T09:01:59.000Z,626.49,0.0,0.0,0.0,1.53,1.42,1.75,ETH
0x00fcadc5614c4e713dc2cb8560be91ea7d08768f,8,642,2024-04-18T08:20:47.000Z,5.3,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x010cc3dcfcb7a34844f6df67e11f35fcb0be2594,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x010f4576d3ae83ef9ee340ba67dabc507a1b91bf,175,1632,2021-08-01T18:44:51.000Z,419.61,0.0,0.0,0.0,5.92,10.7,13.22,"ETH, WETH"
0x010fea3891a57f2eb389a879732140c9b7305a81,16,197,2025-07-07T06:06:23.000Z,3.16,0.0,0.0,0.0,1.91,1.77,2.19,ETH
0x0110de73fe14f742409289d31e4c29e92b5b7f36,2,950,2023-06-15T12:39:59.000Z,9.18,0.0,0.0,0.0,31.16,28.91,35.72,ETH
0x0114d579894ca02cde355733857709e436f72527,8,573,2024-06-26T05:13:23.000Z,2.73,0.0,0.0,0.0,0.16,2.22,2.22,"KITE, ETH"
0x0116c6e153cba260398c7d1612e0123ea8dd18de,51,2698,2018-09-01T12:41:39.000Z,190.5,0.0,0.0,0.0,0.01,0.49,0.62,"UNI, ETH"
0x01181c731331871733e2693839e40155cbef0cc4,12,1142,2022-12-05T06:52:59.000Z,76.81,0.0,0.0,0.0,0.07,0.06,0.08,ETH
0x011a78de66b905f0e624368afbe8feb55789fcf1,94,1441,2022-02-09T07:22:00.000Z,410.11,0.0,0.0,0.0,8.75,8.12,10.03,"ETH, stETH"
0x0129f0be5ff64b7ca2b548f9f29d5a8d4ce5f4ed,6,132,2025-09-10T02:04:23.000Z,1.2,0.0,0.0,0.0,7.13,6.62,8.18,ETH
0x013887e8874554c20ab3d1698f7fad1ccf120778,11,808,2023-11-04T06:43:47.000Z,22.4,0.0,0.0,0.0,4.66,4.33,5.35,ETH
0x013a65bd3b0072116e80ccb9ed4b93cc44461b2f,19,556,2024-07-13T03:50:11.000Z,6.33,0.0,0.0,0.0,7.59,7.04,8.7,ETH
0x014d14d21a16ad7d08125531ef3382abc29a56b5,44,492,2024-09-14T13:12:35.000Z,89.44,0.0,0.0,0.0,3.63,3.37,4.16,ETH
0x014daa2e7633104bd4339d4061a2815c220157b3,18,403,2024-12-13T12:10:35.000Z,20.26,0.0,0.0,0.0,5.66,5.26,6.49,ETH
0x014e3fc54e63b3fb199dc3226e430ec2f255a3b0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x0154e86c9a00427391c204e764c377f752db20f3,18,821,2023-10-21T21:24:59.000Z,46.73,0.0,0.0,0.0,15.25,14.15,17.49,ETH
0x015884181429dc66ff516b9db162eb6d71c75865,20,670,2024-03-21T02:35:47.000Z,18.7,0.0,0.0,0.0,1.98,8.61,9.04,"USDT, ETH"
0x0159fb06d6763ef744e1cde7fc44e4950f777b42,9,361,2025-01-24T11:48:35.000Z,14.35,0.0,0.0,0.0,3.41,3.16,3.91,ETH
0x01631ef77fe0e37d41aeffc74f36e3e2956c659c,20,142,2025-08-30T14:32:47.000Z,2.65,0.0,0.0,0.0,3.95,3.67,4.53,ETH
0x016eb09af4135d8c59b9cf52081802031864115a,10,527,2024-08-11T04:18:35.000Z,3.46,0.0,0.0,0.0,0.7,0.65,0.81,ETH
0x018176b7c7485a5b5271b9d624339ac45593d081,5,867,2023-09-06T01:41:59.000Z,1.48,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x01854ffa40dd1167c884b917be41248c578fdc06,9,527,2024-08-11T04:21:11.000Z,2.39,0.0,0.0,0.0,0.19,0.18,0.22,ETH
0x0188cd8a8d18ca01d903aefe1a7fb4e411fdc11b,20,299,2025-03-27T05:56:35.000Z,6.86,0.0,0.0,0.0,0.69,0.64,0.79,ETH
0x018f564dc4257d375b032447baaade7976864581,27,667,2024-03-24T04:44:59.000Z,50.46,0.0,0.0,0.0,0.61,0.57,0.7,ETH
0x0198b4d1a31f420ec9cf858618f0f426bedfb475,2,1901,2020-11-05T19:35:35.000Z,4.5,0.0,0.0,0.0,0.0,0.0,0.0,
0x01a0e9d3b866f7268f06b03331d7d4980db93bbc,3,285,2025-04-09T15:49:47.000Z,0.57,0.0,0.0,0.0,0.0,0.22,0.34,EDGEN
0x01a825a4505cd8b862b26e345b718c39edd98ede,305,1187,2022-10-20T13:37:59.000Z,56.46,0.0,0.0,0.0,115.27,114.31,140.67,"ETH, USDC, USDT"
0x01ab3fe5357c3ba170734bf9f85cfe47dc45ab30,22,808,2023-11-04T05:36:35.000Z,27.0,0.0,0.0,0.0,0.99,0.92,1.14,ETH
0x01b4ffbd68f6e9fac025b9c95a461654e27f9487,4,179,2025-07-25T06:30:59.000Z,0.57,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x01b60f16685b341a16265ac397be0d677b8a327c,17,808,2023-11-04T05:47:23.000Z,21.32,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x01b622c2cc90a5a9b51bc42feb8bb2dd88228e89,28,645,2024-04-15T04:12:35.000Z,20.33,0.0,0.0,0.0,1.69,1.59,1.96,"ETH, USUALX"
0x01bc88306b5ced10feec193ba7ea4f19f6438581,9,162,2025-08-11T02:27:47.000Z,1.08,0.0,0.0,0.0,0.22,0.21,0.26,ETH
0x01c243c6cf07a247d5e043ce3b3d584dab20fc45,3,179,2025-07-25T08:00:59.000Z,0.2,0.0,0.0,0.0,0.83,0.77,0.95,ETH
0x01c2b2756d35e8db931698007985a5ab7fc419d5,123,908,2023-07-27T04:25:23.000Z,70.99,0.0,0.0,0.0,11.53,12.82,17.44,"ETH, sENA, UNI"
0x01c53d96c85bd0f78743024402a4270c44f5dbad,6,209,2025-06-25T09:09:35.000Z,1.42,0.0,0.0,0.0,0.68,0.63,0.77,ETH
0x01c8aa1108325937b64118fca5121eeda84d0a20,9,358,2025-01-27T05:47:47.000Z,9.07,0.0,0.0,0.0,0.65,1.87,2.7,"GTC, ETH"
0x01cdee55debfeb2b19ae0ac21ba075d76f35dd4f,6,102,2025-10-10T06:32:11.000Z,1.41,0.0,0.0,0.0,1.65,1.53,1.9,ETH
0x01d8266c7410a22be1580035e4be18e28d3c5232,100,350,2025-02-04T10:58:47.000Z,60.47,0.0,0.0,0.0,16.0,16.07,19.59,"ETH, USDT, MAVIA"
0x01df0cc8abc3d9d603792684b70d9c5a7ad63d0c,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x01e14ec9adb5ddb6382c5b2c112041ccacacd22a,24,716,2024-02-04T08:42:23.000Z,22.56,0.0,0.0,0.0,0.99,0.92,1.14,ETH
0x01e1698870d39d819c0bf30801a7db266db57fa3,15,308,2025-03-18T01:42:59.000Z,2.21,0.0,0.0,0.0,0.05,0.04,0.05,ETH
0x01eddb285e30a8a086511cc7eb5326f4db0b0def,6,360,2025-01-25T10:09:59.000Z,4.22,0.0,0.0,0.0,0.0,0.0,0.0,
0x01f0ead0e3a41c73f482949935beccd630b26c05,1,157,2025-08-16T07:13:23.000Z,0.06,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x01f3af5cae26b5a28063c51c8327f2a4bbbac067,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x01f6a9c6d189332625f03f7183593c0a1e97f102,11,589,2024-06-10T02:43:59.000Z,3.09,0.0,0.0,0.0,1.93,1.79,2.22,ETH
0x01f761805c90bc8abfaf504075afdb87e1e5dc08,291,1681,2021-06-13T14:14:02.000Z,10.55,0.0,0.0,0.0,1386.73,31836.95,39406.13,"wstETH, ETH, ACX"
0x01f8b9484b95f9e118a5b0593e513bdba47ad7da,259,1072,2023-02-13T10:47:23.000Z,102.98,0.0,0.0,0.0,137.69,137.45,180.46,"ETH, EIGEN, sENA"
0x01fc0657c77cea82ed74e92727ca72100a1cb25c,30,148,2025-08-25T09:29:59.000Z,4.66,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x01fe660da6b0a37ec55f8f94dc998dc818227222,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x0204e3cf39d71b97e446182fd901819ca6c282ed,13,422,2024-11-24T04:07:59.000Z,7.12,0.0,0.0,0.0,0.01,0.01,0.01,"USUALX, ETH"
0x020b825f5b221768b26bf04326a0e76ac97d7aed,17,176,2025-07-28T01:36:35.000Z,1.49,0.0,0.0,0.0,0.9,0.84,1.04,ETH
0x020d809cae989f239a133b35e6f0d638523bd4db,14,627,2024-05-03T08:23:59.000Z,8.44,0.0,0.0,0.0,0.0,0.01,0.01,"USUALX, ETH"
0x02104e87869612521a1ee355ba7e6b2861385aa9,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x0210989e5833e3aece00509e6d4a64e99e06087c,6,330,2025-02-24T01:10:35.000Z,1.15,0.0,0.0,0.0,0.01,0.01,0.01,ETH
0x02128783083cac9631201b6c2a26b5a2ccab0afc,50,916,2023-07-19T09:22:47.000Z,77.42,0.0,0.0,0.0,0.29,0.27,0.33,ETH
0x02133f693a0b74ec5a6787db4bd4c26e4f132a5d,8,360,2025-01-24T19:41:59.000Z,9.24,0.0,0.0,0.0,0.22,0.21,0.26,ETH
0x0217608a12b0e3b54a1861fdc26e48285efb1162,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x021822fbc9a8c08a4013a0ee64a0be3c007fd3f2,5,56,2025-11-25T07:01:23.000Z,3.32,0.0,0.0,0.0,0.07,0.07,0.08,ETH
0x02270a939fdfb4ad87b64621562085d7de7509bf,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x0228806914474d67bcf2317b7aeb9503808fdeb7,148,760,2023-12-22T11:46:35.000Z,484.22,0.0,0.0,0.0,2.47,130.38,130.71,"GHO, ETH"
0x0228e0f351d1684aaf8cb265cb13aeca5723f452,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x022d60a0df2f73c62f519a3e9091e7d0f078036e,2,570,2024-06-28T21:02:23.000Z,1.47,0.0,0.0,0.0,0.58,0.53,0.66,ETH
0x022e7dbf02e86c801d3e5f58d8fd97c68124e461,1,16,2026-01-04T02:16:47.000Z,0.04,0.0,0.0,0.0,1.51,1.4,1.73,ETH
0x02334d20cf5aa9cc346fd237099fadf4dd6f844d,32,814,2023-10-29T03:12:11.000Z,39.38,0.0,0.0,0.0,4.93,4.57,5.65,ETH
0x0235a59da543acabf970f87b340f147ce7892ec0,4,66,2025-11-15T11:39:59.000Z,0.44,0.0,0.0,0.0,0.0,0.0,0.0,ETH
0x0235ed3fb52ddf5d624d826a235d81a1c532a949,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x02366fefddf98f2229da5b3c2d6c6151581148a3,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x0238d926c84660b1b649b5ab529e941a4d373de4,15,180,2025-07-24T04:23:59.000Z,5.91,0.0,0.0,0.0,1.46,1.36,1.68,ETH
0x02489dda3552066e6fba5e92945623388c8c5aa9,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0x024929e86610e0c2b9b06f9f28f026f946ee9de5,2,578,2024-06-20T18:25:11.000Z,3.66,0.0,0.0,0.0,0.7,0.65,0.8,ETH
0x0258279bab31aa9d04cfcf1746b632b5d7149f42,9,178,2025-07-26T00:57:59.000Z,0.97,0.0,0.0,0.0,0.22,0.21,0.26,ETH
